"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mouse.line","genus","protein.name","submitted.name","pathway","protein.function","keywords"
"UniRef90_A0A315RX83",97196.1300095752,-17.4180794453382,2.01982282176585,-8.62356799697426,6.48996101193797e-18,2.20658674405891e-16,"Nude","g__Staphylococcus",NA,"3-hydroxyacyl-CoA dehydrogenase",NA,NA,""
"UniRef90_A0A0H2VHP2",11.6349056467619,-4.25866062879922,1.40494758431712,-3.03118826377365,0.0024359331224815,0.0358956774264324,"Nude","g__Staphylococcus","Dihydrofolate reductase",NA,NA,NA,""
"UniRef90_T4AWL0",9.64463900124566,-3.96133084901633,1.3423599486383,-2.95101984608132,0.00316726565527345,0.0358956774264324,"Nude","g__Staphylococcus",NA,NA,NA,NA,""
"UniRef90_D1YE90",20.625,5.73695188073084,1.54975705832976,3.70183949148378,0.000214042014569216,0.0512630624893273,"Balbc","g__Cutibacterium","Ornithine carbamoyltransferase",NA,NA,NA,"Transferase"
"UniRef90_E6D7W2",22.875,5.89075619003671,1.58185075136947,3.72396459333276,0.000196118442953278,0.0512630624893273,"Balbc","g__Cutibacterium","Transposase",NA,NA,NA,""
"UniRef90_Q6A5U5",27.75,6.17657269540277,1.61130348649951,3.83327706242425,0.000126447398022472,0.0512630624893273,"Balbc","g__Cutibacterium","50S ribosomal protein L32",NA,NA,NA,"Ribonucleoprotein;Ribosomal protein"
"UniRef90_W4THL1",12.875,5.02973843323521,1.33096577320521,3.7790141072694,0.00015745050504367,0.0512630624893273,"Balbc","g__Cutibacterium","Lipoprotein",NA,NA,NA,"Reference proteome"
"UniRef90_E6D7E5",65.875,-6.71146385471814,1.88476056184966,-3.56091059552502,0.000369570913670493,0.0708097870592665,"Balbc","g__Cutibacterium","Diguanylate cyclase",NA,NA,NA,""
"UniRef90_A0A085B1R5",3.91451088278767,-2.3770879142372,1.28311790312355,-1.85258728636748,0.0639415361006538,0.0965861547947013,"Nude","g__Staphylococcus","Cytochrome bc1 complex cytochrome b subunit",NA,NA,NA,"Membrane;Translocase;Transmembrane;Transmembrane helix"
"UniRef90_A0A0E1VG55",5.92043631215352,-3.14588344050484,1.5539383430961,-2.02445834127299,0.0429230141530931,0.0965861547947013,"Nude","g__Staphylococcus","Conserved domain protein",NA,NA,NA,""
"UniRef90_A0A121AS90",4.89210857364572,-2.80376533385685,1.49849989092495,-1.8710480733677,0.0613384180071669,0.0965861547947013,"Nude","g__Staphylococcus",NA,NA,NA,NA,""
"UniRef90_A0A1U3Z4E8",6.60598813782539,-3.33485598483968,1.56614872100119,-2.12933544568348,0.0332265171924618,0.0965861547947013,"Nude","g__Staphylococcus",NA,NA,NA,NA,""
"UniRef90_A0A2I1K572",4.9042283278762,-2.83447806390815,1.27684242502413,-2.21991218991223,0.0264247288783137,0.0965861547947013,"Nude","g__Staphylococcus","RNAase",NA,NA,NA,"Reference proteome"
"UniRef90_A0A3A0I5N1",5.06349653006368,-2.86695077499382,1.51115047209261,-1.89719741874793,0.0578018874097775,0.0965861547947013,"Nude","g__Staphylococcus",NA,NA,NA,NA,""
"UniRef90_D2JD16",5.92043631215352,-3.14588344050484,1.5539383430961,-2.02445834127299,0.0429230141530931,0.0965861547947013,"Nude","g__Staphylococcus","Cold shock protein CspA",NA,NA,NA,"Cytoplasm;Plasmid"
"UniRef90_E4HI80",4.33515138190779,-2.57249884100054,1.33916358794028,-1.92097430378705,0.0547349471101964,0.0965861547947013,"Nude","g__Staphylococcus",NA,"Acyltransferase",NA,NA,"Acyltransferase;Transferase"
